date,user_id,type,value
2019-07-02T00:10:17.127Z,73,sleep,1.4810245037099998
2019-06-25T16:02:34.221Z,80,mood,3.0
2019-04-03T13:35:14.935Z,4,sleep,1.2
2018-09-16T15:50:53.682Z,51,mood,3.1594691276599995
2018-12-27T01:09:14.280Z,52,sleep,4.0
2019-04-04T02:29:23.391Z,46,sleep,3.14913511276
2018-10-29T19:10:19.322Z,68,mood,0.982290744781
2019-05-21T20:43:05.339Z,12,mood,3.0
2018-12-16T16:30:54.268Z,81,sleep,2.6
2018-12-15T15:01:25.148Z,39,mood,0.0
2019-04-14T16:43:09.713Z,64,sleep,3.8905816078199993
2019-07-14T18:37:19.603Z,59,mood,4.0
2019-03-13T16:35:51.043Z,82,sleep,2.0
2019-03-19T14:20:56.911Z,48,mood,2.4
2018-11-11T04:02:43.457Z,33,sleep,1.0
2018-10-22T13:48:21.284Z,7,mood,2.3600001
2018-11-07T13:39:12.863Z,33,mood,3.08
2018-11-21T13:45:47.231Z,90,mood,3.52
2019-06-06T22:16:53.647Z,55,mood,3.0
2019-06-24T01:16:49.234Z,5,sleep,1.76
2018-11-19T06:20:41.962Z,51,mood,4.0
2019-04-27T12:11:54.915Z,64,sleep,0.5999999
2018-10-08T15:02:21.131Z,39,sleep,2.4760737419099996
2019-07-01T09:43:52.968Z,54,sleep,1.8
2018-12-04T16:36:22.436Z,53,sleep,0.03999996
2018-11-12T16:03:24.124Z,97,mood,1.8800001
2018-11-29T03:27:35.598Z,80,sleep,3.92
2018-11-08T13:09:32.595Z,90,mood,4.0
2019-07-11T13:58:52.706Z,69,mood,3.11451506615
2019-03-14T23:54:04.081Z,33,anticipatoryStress,3.56
2018-10-30T14:56:50.636Z,9,mood,1.3599999
2018-11-12T15:29:34.242Z,17,mood,3.8
2018-10-16T01:23:18.119Z,64,mood,1.8800001
2018-09-30T01:30:12.167Z,10,sleep,3.7461705207800002
2019-06-23T05:03:19.299Z,52,sleep,1.5897314548500001
2019-01-11T14:30:02.775Z,39,sleep,0.9777359962459999
2018-10-15T03:53:39.982Z,52,mood,2.28
2019-05-09T14:05:54.435Z,72,mood,3.35521793365
2019-06-10T12:06:41.255Z,51,mood,3.0
2018-10-01T02:39:58.944Z,67,sleep,0.992869377136
2019-07-10T12:14:04.157Z,33,sleep,3.49654459953
2019-04-21T17:14:23.055Z,52,mood,1.52
2018-12-19T19:25:19.142Z,10,sleep,3.28
2018-10-04T12:12:04.744Z,52,mood,3.0
2019-03-23T12:44:51.851Z,10,mood,1.1437335014299999
